17-34, Private, School, Handlers-cleaners, Amer-Indian-Eskimo, Male,40-59, <=50K,,,,
35-49, Self-emp-not-inc, School, Sales, White, Male,40-59, >50K,,,,
17-34, Self-emp-not-inc, Assoc-voc, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Local-gov, Bachelors, Prof-specialty, White, Female,20-39, >50K,,,,
50-65, Private, Bachelors, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, Bachelors, Tech-support, White, Female,20-39, >50K,,,,
17-34, Private, Bachelors, Prof-specialty, White, Female,20-39, >50K,,,,
50-65, Local-gov, Bachelors, Prof-specialty, White, Female,40-59, >50K,,,,
35-49, Self-emp-not-inc, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Exec-managerial, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Handlers-cleaners, White, Male,20-39, <=50K,,,,
17-34, Private, HS-grad, Other-service, White, Female,40-59, >50K,,,,
50-65, Private, HS-grad, Machine-op-inspct, White, Female,40-59, <=50K,,,,
50-65, Private, Masters, Prof-specialty, White, Male,40-59, >50K,,,,
50-65, Private, Masters, Adm-clerical, White, Male,80+, >50K,,,,
35-49, Private, Masters, Exec-managerial, White, Female,40-59, <=50K,,,,
17-34, Private, Prof-school, Sales, White, Male,40-59, <=50K,,,,
35-49, Private, School, Craft-repair, Asian-Pac-Islander, Male,40-59, <=50K,,,,
35-49, Private, School, Handlers-cleaners, Black, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, Black, Male,40-59, <=50K,,,,
35-49, Private, School, Farming-fishing, Black, Male,40-59, <=50K,,,,
35-49, Private, School, Farming-fishing, White, Male,20-39, <=50K,,,,
50-65, Private, School, Transport-moving, White, Male,40-59, <=50K,,,,
17-34, Private, School, Transport-moving, White, Male,80+, >50K,,,,
35-49, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, >50K,,,,
35-49, Private, School, Transport-moving, White, Male,40-59, <=50K,,,,
65+, Local-gov, School, Exec-managerial, White, Male,20-39, <=50K,,,,
65+, Self-emp-not-inc, School, Farming-fishing, White, Male,80+, <=50K,,,,
35-49, Private, School, Adm-clerical, White, Male,40-59, <=50K,,,,
17-34, Private, Assoc-voc, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, Assoc-voc, Prof-specialty, White, Male,40-59, >50K,,,,
17-34, Private, Bachelors, Sales, White, Female,40-59, <=50K,,,,
17-34, Private, Bachelors, Adm-clerical, White, Female,40-59, <=50K,,,,
50-65, Self-emp-not-inc, Bachelors, Exec-managerial, White, Female,20-39, <=50K,,,,
35-49, Self-emp-not-inc, Bachelors, Prof-specialty, White, Female,20-39, <=50K,,,,
50-65, Private, Bachelors, Adm-clerical, White, Female,20-39, >50K,,,,
35-49, Private, Bachelors, Exec-managerial, White, Female,40-59, >50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Machine-op-inspct, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Sales, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Machine-op-inspct, White, Female,40-59, >50K,,,,
35-49, Private, HS-grad, Craft-repair, White, Female,40-59, >50K,,,,
35-49, Private, HS-grad, Sales, White, Female,40-59, >50K,,,,
50-65, Private, HS-grad, Other-service, White, Female,0-19, <=50K,,,,
35-49, Private, Masters, Exec-managerial, White, Male,40-59, >50K,,,,
50-65, Private, Masters, Exec-managerial, White, Male,40-59, >50K,,,,
50-65, Federal-gov, Masters, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, Prof-school, Prof-specialty, White, Female,20-39, <=50K,,,,
35-49, Federal-gov, Some-college, Exec-managerial, White, Male,40-59, >50K,,,,
50-65, Private, School, Craft-repair, Black, Male,40-59, >50K,,,,
35-49, Private, School, Handlers-cleaners, Black, Male,40-59, <=50K,,,,
35-49, Private, School, Craft-repair, Black, Male,40-59, <=50K,,,,
35-49, Private, School, Transport-moving, Black, Male,40-59, >50K,,,,
35-49, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, >50K,,,,
17-34, Private, School, Handlers-cleaners, White, Male,40-59, <=50K,,,,
35-49, Private, School, Craft-repair, White, Male,20-39, <=50K,,,,
50-65, Local-gov, School, Adm-clerical, White, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
65+, Private, School, Handlers-cleaners, White, Male,20-39, <=50K,,,,
50-65, Self-emp-not-inc, School, Transport-moving, White, Male,60-79, <=50K,,,,
35-49, Private, School, Handlers-cleaners, White, Male,40-59, <=50K,,,,
50-65, Federal-gov, School, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, >50K,,,,
50-65, Self-emp-not-inc, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
65+, Local-gov, School, Transport-moving, White, Male,0-19, <=50K,,,,
35-49, Private, Assoc-voc, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, Assoc-voc, Craft-repair, White, Male,40-59, >50K,,,,
17-34, Private, Assoc-voc, Craft-repair, Amer-Indian-Eskimo, Male,40-59, <=50K,,,,
35-49, Private, Bachelors, Prof-specialty, White, Female,20-39, >50K,,,,
17-34, Private, Bachelors, Exec-managerial, White, Female,40-59, >50K,,,,
35-49, Private, Bachelors, Prof-specialty, White, Female,40-59, <=50K,,,,
35-49, State-gov, Bachelors, Exec-managerial, White, Female,40-59, >50K,,,,
17-34, Private, Bachelors, Sales, White, Female,40-59, >50K,,,,
17-34, Self-emp-not-inc, Bachelors, Adm-clerical, White, Female,20-39, <=50K,,,,
35-49, Private, HS-grad, Handlers-cleaners, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Other-service, White, Female,40-59, <=50K,,,,
50-65, Federal-gov, HS-grad, Exec-managerial, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Other-service, White, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Transport-moving, White, Male,60-79, <=50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Exec-managerial, White, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Female,40-59, >50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Female,40-59, >50K,,,,
50-65, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, Masters, Prof-specialty, White, Male,40-59, >50K,,,,
50-65, Private, Masters, Exec-managerial, White, Male,60-79, >50K,,,,
35-49, Local-gov, Masters, Prof-specialty, White, Female,40-59, <=50K,,,,
17-34, Private, Prof-school, Prof-specialty, White, Female,60-79, >50K,,,,
50-65, Local-gov, Some-college, Transport-moving, White, Male,40-59, <=50K,,,,
35-49, Local-gov, Some-college, Exec-managerial, White, Male,40-59, <=50K,,,,
50-65, Private, School, Handlers-cleaners, Black, Male,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, Black, Male,40-59, <=50K,,,,
50-65, Private, School, Other-service, Black, Male,40-59, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
50-65, Private, School, Sales, White, Male,40-59, <=50K,,,,
65+, Private, School, Handlers-cleaners, White, Male,20-39, >50K,,,,
50-65, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Private, School, Transport-moving, White, Male,40-59, <=50K,,,,
50-65, Self-emp-not-inc, School, Sales, White, Male,60-79, <=50K,,,,
50-65, Private, School, Transport-moving, White, Male,40-59, >50K,,,,
35-49, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,20-39, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, >50K,,,,
35-49, Private, School, Exec-managerial, White, Male,40-59, <=50K,,,,
35-49, Self-emp-not-inc, School, Craft-repair, White, Male,60-79, <=50K,,,,
17-34, Self-emp-not-inc, School, Craft-repair, White, Male,20-39, >50K,,,,
65+, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Private, Assoc-voc, Transport-moving, White, Male,40-59, >50K,,,,
17-34, Private, Assoc-voc, Machine-op-inspct, White, Male,40-59, >50K,,,,
35-49, State-gov, Assoc-voc, Adm-clerical, Black, Female,40-59, <=50K,,,,
50-65, Local-gov, Bachelors, Prof-specialty, White, Female,40-59, >50K,,,,
35-49, Private, Bachelors, Prof-specialty, White, Female,20-39, <=50K,,,,
35-49, Private, Bachelors, Exec-managerial, White, Female,60-79, >50K,,,,
17-34, Private, Bachelors, Exec-managerial, White, Female,40-59, >50K,,,,
35-49, Local-gov, Bachelors, Prof-specialty, White, Female,40-59, >50K,,,,
17-34, Self-emp-not-inc, Bachelors, Exec-managerial, White, Female,40-59, >50K,,,,
35-49, Self-emp-not-inc, Bachelors, Prof-specialty, White, Female,60-79, >50K,,,,
50-65, Private, HS-grad, Other-service, White, Female,40-59, <=50K,,,,
17-34, Self-emp-inc, HS-grad, Transport-moving, White, Male,40-59, <=50K,,,,
35-49, Local-gov, HS-grad, Adm-clerical, White, Female,0-19, <=50K,,,,
50-65, Private, HS-grad, Other-service, White, Female,20-39, <=50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
65+, Self-emp-inc, HS-grad, Adm-clerical, White, Female,20-39, >50K,,,,
17-34, Private, HS-grad, Sales, White, Female,0-19, <=50K,,,,
50-65, State-gov, HS-grad, Tech-support, White, Female,40-59, >50K,,,,
35-49, Self-emp-inc, HS-grad, Sales, White, Female,60-79, <=50K,,,,
35-49, State-gov, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Local-gov, Masters, Prof-specialty, White, Male,40-59, <=50K,,,,
50-65, Private, Masters, Prof-specialty, White, Male,40-59, >50K,,,,
17-34, State-gov, Masters, Prof-specialty, White, Female,40-59, <=50K,,,,
35-49, Private, Masters, Prof-specialty, White, Male,40-59, <=50K,,,,
35-49, Self-emp-not-inc, Some-college, Exec-managerial, Amer-Indian-Eskimo, Male,40-59, <=50K,,,,
50-65, Federal-gov, Some-college, Tech-support, White, Male,0-19, >50K,,,,
50-65, Private, Some-college, Exec-managerial, White, Male,60-79, <=50K,,,,
65+, Self-emp-not-inc, Some-college, Sales, White, Male,0-19, >50K,,,,
50-65, Private, School, Other-service, Black, Male,40-59, <=50K,,,,
35-49, Self-emp-inc, School, Farming-fishing, White, Male,80+, <=50K,,,,
50-65, Private, School, Transport-moving, White, Male,40-59, >50K,,,,
50-65, Local-gov, School, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Male,60-79, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Private, School, Sales, White, Male,60-79, <=50K,,,,
50-65, Self-emp-inc, School, Farming-fishing, White, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Self-emp-not-inc, School, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, School, Exec-managerial, White, Male,40-59, >50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, >50K,,,,
65+, Private, School, Sales, White, Male,0-19, <=50K,,,,
17-34, Private, School, Transport-moving, White, Male,40-59, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,40-59, >50K,,,,
35-49, Local-gov, School, Handlers-cleaners, White, Male,40-59, >50K,,,,
50-65, Private, School, Other-service, White, Male,40-59, <=50K,,,,
17-34, Local-gov, School, Craft-repair, White, Male,60-79, <=50K,,,,
17-34, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Private, School, Handlers-cleaners, White, Male,40-59, <=50K,,,,
65+, Private, Assoc-voc, Adm-clerical, White, Male,0-19, <=50K,,,,
50-65, Self-emp-not-inc, Assoc-voc, Other-service, White, Male,40-59, <=50K,,,,
17-34, Private, Assoc-voc, Exec-managerial, Black, Female,40-59, <=50K,,,,
17-34, Private, Bachelors, Exec-managerial, White, Female,40-59, <=50K,,,,
50-65, Private, Bachelors, Prof-specialty, White, Female,20-39, >50K,,,,
50-65, Private, Bachelors, Sales, White, Female,60-79, >50K,,,,
17-34, Private, Bachelors, Prof-specialty, White, Female,40-59, >50K,,,,
35-49, State-gov, Bachelors, Adm-clerical, White, Female,20-39, >50K,,,,
50-65, Local-gov, Bachelors, Prof-specialty, White, Female,40-59, >50K,,,,
35-49, Private, Bachelors, Sales, White, Female,20-39, <=50K,,,,
35-49, Local-gov, Bachelors, Prof-specialty, White, Female,40-59, >50K,,,,
35-49, Private, Doctorate, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K,,,,
17-34, Self-emp-not-inc, HS-grad, Other-service, White, Female,20-39, <=50K,,,,
17-34, Private, HS-grad, Other-service, White, Male,0-19, <=50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,60-79, <=50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Female,20-39, <=50K,,,,
35-49, Private, HS-grad, Farming-fishing, White, Female,40-59, <=50K,,,,
50-65, Private, HS-grad, Priv-house-serv, White, Female,0-19, <=50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,20-39, <=50K,,,,
35-49, Private, HS-grad, Adm-clerical, White, Female,40-59, >50K,,,,
35-49, Private, HS-grad, Prof-specialty, White, Female,20-39, <=50K,,,,
35-49, Self-emp-inc, HS-grad, Adm-clerical, White, Female,40-59, >50K,,,,
17-34, Federal-gov, HS-grad, Adm-clerical, White, Female,40-59, >50K,,,,
35-49, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Adm-clerical, White, Female,40-59, >50K,,,,
50-65, Private, Masters, Sales, White, Male,40-59, <=50K,,,,
17-34, Self-emp-not-inc, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K,,,,
35-49, State-gov, Masters, Exec-managerial, White, Female,40-59, <=50K,,,,
50-65, Private, Masters, Exec-managerial, White, Female,40-59, >50K,,,,
17-34, Self-emp-not-inc, Prof-school, Prof-specialty, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Sales, Amer-Indian-Eskimo, Male,40-59, <=50K,,,,
50-65, Self-emp-inc, Some-college, Sales, White, Male,40-59, >50K,,,,
17-34, Private, Some-college, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Male,40-59, <=50K,,,,
50-65, Local-gov, Some-college, Prof-specialty, White, Female,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, Black, Male,40-59, >50K,,,,
50-65, Self-emp-not-inc, School, Farming-fishing, White, Male,20-39, <=50K,,,,
50-65, Private, School, Exec-managerial, White, Male,40-59, <=50K,,,,
17-34, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
50-65, Private, School, Sales, White, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Local-gov, School, Protective-serv, White, Male,40-59, <=50K,,,,
50-65, Self-emp-inc, School, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Local-gov, School, Other-service, White, Male,40-59, <=50K,,,,
35-49, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, >50K,,,,
35-49, Private, School, Machine-op-inspct, White, Male,40-59, >50K,,,,
50-65, Local-gov, School, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, School, Transport-moving, White, Male,20-39, <=50K,,,,
65+, Self-emp-inc, School, Sales, White, Male,20-39, <=50K,,,,
65+, Private, School, Machine-op-inspct, White, Male,40-59, <=50K,,,,
35-49, Private, School, Transport-moving, White, Male,60-79, <=50K,,,,
50-65, Private, School, Other-service, White, Male,20-39, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, >50K,,,,
50-65, Private, School, Sales, White, Male,40-59, >50K,,,,
35-49, State-gov, School, Other-service, White, Male,40-59, <=50K,,,,
35-49, Private, Assoc-voc, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, State-gov, Assoc-voc, Prof-specialty, White, Male,40-59, <=50K,,,,
50-65, State-gov, Assoc-voc, Exec-managerial, Amer-Indian-Eskimo, Female,20-39, <=50K,,,,
17-34, Private, Assoc-voc, Machine-op-inspct, Other, Male,40-59, <=50K,,,,
17-34, State-gov, Bachelors, Exec-managerial, White, Female,40-59, >50K,,,,
17-34, Local-gov, Bachelors, Prof-specialty, White, Female,20-39, >50K,,,,
17-34, Private, Bachelors, Exec-managerial, White, Female,40-59, >50K,,,,
17-34, State-gov, Bachelors, Prof-specialty, White, Female,40-59, >50K,,,,
17-34, Private, Bachelors, Prof-specialty, White, Female,40-59, <=50K,,,,
35-49, Private, Bachelors, Prof-specialty, White, Female,20-39, >50K,,,,
17-34, Private, Bachelors, Exec-managerial, White, Female,40-59, <=50K,,,,
35-49, State-gov, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K,,,,
35-49, Private, Doctorate, Prof-specialty, White, Male,40-59, <=50K,,,,
35-49, Self-emp-not-inc, HS-grad, Farming-fishing, White, Male,60-79, <=50K,,,,
50-65, Private, HS-grad, Sales, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Transport-moving, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Other-service, White, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,20-39, <=50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, HS-grad, Transport-moving, White, Female,40-59, <=50K,,,,
50-65, State-gov, HS-grad, Exec-managerial, White, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Sales, White, Female,0-19, <=50K,,,,
17-34, Private, HS-grad, Sales, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Adm-clerical, White, Female,40-59, >50K,,,,
50-65, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Other-service, White, Female,20-39, >50K,,,,
35-49, Private, HS-grad, Exec-managerial, White, Female,40-59, <=50K,,,,
50-65, Private, HS-grad, Adm-clerical, White, Female,40-59, <=50K,,,,
35-49, Private, Masters, Exec-managerial, White, Male,40-59, >50K,,,,
17-34, State-gov, Masters, Prof-specialty, Black, Female,20-39, <=50K,,,,
17-34, Private, Masters, Handlers-cleaners, White, Male,20-39, <=50K,,,,
35-49, Private, Masters, Prof-specialty, White, Female,20-39, >50K,,,,
35-49, Self-emp-not-inc, Prof-school, Prof-specialty, White, Female,40-59, >50K,,,,
35-49, Private, Some-college, Craft-repair, Asian-Pac-Islander, Male,40-59, >50K,,,,
35-49, Private, Some-college, Transport-moving, White, Male,60-79, <=50K,,,,
35-49, State-gov, Some-college, Exec-managerial, White, Male,40-59, <=50K,,,,
50-65, Private, Some-college, Sales, White, Male,40-59, >50K,,,,
35-49, Private, Some-college, Machine-op-inspct, White, Male,40-59, <=50K,,,,
17-34, Private, Some-college, Craft-repair, White, Male,60-79, <=50K,,,,
17-34, Private, Some-college, Adm-clerical, White, Female,40-59, <=50K,,,,
50-65, Private, School, Machine-op-inspct, Black, Male,40-59, <=50K,,,,
65+, Local-gov, School, Transport-moving, White, Male,20-39, <=50K,,,,
35-49, Private, School, Transport-moving, White, Male,40-59, >50K,,,,
50-65, State-gov, School, Farming-fishing, White, Male,40-59, <=50K,,,,
35-49, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, School, Other-service, White, Male,40-59, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
17-34, State-gov, School, Handlers-cleaners, White, Male,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Male,40-59, >50K,,,,
35-49, Private, School, Transport-moving, White, Male,40-59, <=50K,,,,
50-65, Private, School, Transport-moving, White, Male,40-59, >50K,,,,
50-65, Private, School, Exec-managerial, White, Male,40-59, <=50K,,,,
35-49, Private, School, Machine-op-inspct, White, Male,40-59, >50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Self-emp-not-inc, School, Farming-fishing, White, Male,60-79, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, School, Craft-repair, White, Male,40-59, >50K,,,,
65+, Private, School, Exec-managerial, White, Male,40-59, <=50K,,,,
17-34, Private, School, Sales, White, Male,40-59, <=50K,,,,
17-34, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
35-49, Private, School, Craft-repair, White, Male,60-79, >50K,,,,
35-49, Private, School, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, School, Adm-clerical, Black, Female,40-59, <=50K,,,,
35-49, Private, Assoc-voc, Prof-specialty, White, Male,40-59, <=50K,,,,
17-34, Private, Assoc-voc, Sales, Amer-Indian-Eskimo, Female,40-59, <=50K,,,,
50-65, Private, Assoc-voc, Priv-house-serv, Black, Female,20-39, <=50K,,,,
17-34, Private, Assoc-voc, Adm-clerical, White, Male,20-39, >50K,,,,
35-49, Private, Bachelors, Sales, White, Female,20-39, >50K,,,,
17-34, Private, Bachelors, Exec-managerial, White, Female,40-59, >50K,,,,
35-49, Private, Bachelors, Sales, White, Female,40-59, >50K,,,,
17-34, Private, Bachelors, Tech-support, White, Female,40-59, >50K,,,,
17-34, Private, Bachelors, Tech-support, White, Female,40-59, >50K,,,,
35-49, Private, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K,,,,
50-65, State-gov, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K,,,,
35-49, Private, Doctorate, Prof-specialty, White, Male,80+, >50K,,,,
50-65, Local-gov, Doctorate, Exec-managerial, White, Male,60-79, >50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,20-39, <=50K,,,,
35-49, Federal-gov, HS-grad, Adm-clerical, White, Male,40-59, <=50K,,,,
17-34, Private, HS-grad, Transport-moving, White, Male,80+, <=50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, HS-grad, Machine-op-inspct, White, Male,20-39, <=50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K,,,,
50-65, Private, HS-grad, Sales, White, Female,40-59, <=50K,,,,
65+, Private, HS-grad, Handlers-cleaners, White, Male,0-19, <=50K,,,,
17-34, Private, HS-grad, Handlers-cleaners, White, Male,40-59, <=50K,,,,
17-34, Local-gov, HS-grad, Adm-clerical, White, Female,60-79, <=50K,,,,
35-49, Private, HS-grad, Adm-clerical, White, Female,40-59, >50K,,,,
17-34, Private, HS-grad, Adm-clerical, White, Female,40-59, >50K,,,,
35-49, Private, HS-grad, Tech-support, White, Female,40-59, <=50K,,,,
50-65, Private, HS-grad, Adm-clerical, White, Female,40-59, >50K,,,,
35-49, Private, HS-grad, Adm-clerical, White, Female,20-39, >50K,,,,
17-34, Private, HS-grad, Sales, White, Female,40-59, <=50K,,,,
35-49, Private, HS-grad, Other-service, White, Female,40-59, <=50K,,,,
17-34, Private, HS-grad, Craft-repair, White, Female,20-39, <=50K,,,,
35-49, Private, Masters, Exec-managerial, White, Male,40-59, >50K,,,,
35-49, State-gov, Masters, Adm-clerical, Black, Male,20-39, <=50K,,,,
35-49, Private, Masters, Prof-specialty, White, Female,40-59, <=50K,,,,
17-34, State-gov, Masters, Prof-specialty, White, Female,40-59, >50K,,,,
35-49, Private, Prof-school, Prof-specialty, White, Female,40-59, <=50K,,,,
50-65, Federal-gov, Some-college, Tech-support, Asian-Pac-Islander, Male,40-59, >50K,,,,
35-49, State-gov, Some-college, Adm-clerical, White, Male,40-59, <=50K,,,,
35-49, Private, Some-college, Sales, White, Male,40-59, >50K,,,,
