17-34, Private, Some-college, Machine-op-inspct, Amer-Indian-Eskimo, Male,20-39, <=50K
35-49, Private, 11th, Other-service, Amer-Indian-Eskimo, Male,20-39, <=50K
35-49, Private, Bachelors, Machine-op-inspct, Amer-Indian-Eskimo, Male,40-59, <=50K
50-65, Federal-gov, HS-grad, Transport-moving, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Private, HS-grad, Prof-specialty, Amer-Indian-Eskimo, Male,40-59, >50K
17-34, Private, HS-grad, Craft-repair, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Self-emp-not-inc, Some-college, Craft-repair, Amer-Indian-Eskimo, Male,60-79, >50K
35-49, Private, HS-grad, Transport-moving, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Federal-gov, HS-grad, Exec-managerial, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Private, HS-grad, Transport-moving, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Private, Assoc-voc, Machine-op-inspct, Amer-Indian-Eskimo, Male,40-59, <=50K
50-65, Private, Bachelors, Prof-specialty, Amer-Indian-Eskimo, Male,40-59, >50K
17-34, Private, HS-grad, Craft-repair, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Local-gov, Some-college, Other-service, Amer-Indian-Eskimo, Male,20-39, <=50K
35-49, Self-emp-not-inc, Some-college, Exec-managerial, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Private, Some-college, Sales, Amer-Indian-Eskimo, Male,40-59, <=50K
50-65, Self-emp-not-inc, 7th-8th, Craft-repair, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Self-emp-not-inc, Some-college, Craft-repair, Amer-Indian-Eskimo, Male,40-59, >50K
50-65, State-gov, 10th, Craft-repair, Amer-Indian-Eskimo, Male,40-59, <=50K
35-49, Private, HS-grad, Craft-repair, Amer-Indian-Eskimo, Male,60-79, <=50K
35-49, Private, HS-grad, Other-service, Amer-Indian-Eskimo, Male,40-59, <=50K
50-65, Private, HS-grad, Transport-moving, Amer-Indian-Eskimo, Male,40-59, >50K
35-49, Self-emp-not-inc, Prof-school, Prof-specialty, Amer-Indian-Eskimo, Male,60-79, >50K
17-34, Self-emp-not-inc, Some-college, Sales, Amer-Indian-Eskimo, Male,40-59, >50K
35-49, State-gov, HS-grad, Transport-moving, Amer-Indian-Eskimo, Male,40-59, <=50K
50-65, Federal-gov, Some-college, Prof-specialty, Amer-Indian-Eskimo, Male,40-59, <=50K
17-34, Private, Some-college, Sales, Amer-Indian-Eskimo, Male,60-79, <=50K
65+, Self-emp-not-inc, HS-grad, Farming-fishing, Amer-Indian-Eskimo, Male,20-39, <=50K
50-65, Private, HS-grad, Sales, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, HS-grad, Machine-op-inspct, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, HS-grad, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Private, 12th, Sales, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, 7th-8th, Other-service, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, 1st-4th, Craft-repair, Asian-Pac-Islander, Male,40-59, <=50K
17-34, Private, Some-college, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Self-emp-not-inc, HS-grad, Farming-fishing, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Craft-repair, Asian-Pac-Islander, Male,40-59, >50K
50-65, Self-emp-not-inc, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,20-39, >50K
35-49, Private, HS-grad, Other-service, Asian-Pac-Islander, Male,40-59, <=50K
50-65, State-gov, Masters, Prof-specialty, Asian-Pac-Islander, Male,20-39, >50K
17-34, State-gov, Masters, Prof-specialty, Asian-Pac-Islander, Male,0-19, <=50K
35-49, Private, HS-grad, Other-service, Asian-Pac-Islander, Male,20-39, <=50K
35-49, Private, Bachelors, Other-service, Asian-Pac-Islander, Male,20-39, <=50K
35-49, Private, 7th-8th, Other-service, Asian-Pac-Islander, Male,20-39, <=50K
35-49, Private, HS-grad, Other-service, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Self-emp-not-inc, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,20-39, >50K
35-49, Self-emp-inc, Some-college, Exec-managerial, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, 7th-8th, Other-service, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
17-34, State-gov, Doctorate, Tech-support, Asian-Pac-Islander, Male,20-39, <=50K
50-65, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,60-79, <=50K
35-49, Private, HS-grad, Other-service, Asian-Pac-Islander, Male,60-79, <=50K
50-65, Self-emp-not-inc, Bachelors, Sales, Asian-Pac-Islander, Male,40-59, >50K
35-49, Self-emp-not-inc, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, HS-grad, Other-service, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, 7th-8th, Craft-repair, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Private, Preschool, Craft-repair, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Federal-gov, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Self-emp-not-inc, HS-grad, Exec-managerial, Asian-Pac-Islander, Male,40-59, <=50K
17-34, Private, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,60-79, >50K
50-65, Local-gov, HS-grad, Other-service, Asian-Pac-Islander, Male,40-59, <=50K
17-34, Private, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Prof-school, Sales, Asian-Pac-Islander, Male,20-39, <=50K
35-49, Private, 10th, Craft-repair, Asian-Pac-Islander, Male,40-59, <=50K
50-65, State-gov, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,40-59, <=50K
17-34, Self-emp-inc, HS-grad, Sales, Asian-Pac-Islander, Male,40-59, <=50K
17-34, State-gov, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K
35-49, State-gov, Assoc-voc, Tech-support, Asian-Pac-Islander, Male,20-39, <=50K
35-49, Private, Some-college, Craft-repair, Asian-Pac-Islander, Male,40-59, <=50K
17-34, Private, HS-grad, Sales, Asian-Pac-Islander, Male,40-59, <=50K
17-34, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Masters, Exec-managerial, Asian-Pac-Islander, Male,60-79, >50K
35-49, Private, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
17-34, Local-gov, Assoc-acdm, Protective-serv, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Self-emp-inc, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,60-79, <=50K
50-65, State-gov, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, HS-grad, Craft-repair, Asian-Pac-Islander, Male,40-59, <=50K
17-34, Private, Masters, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
17-34, Self-emp-not-inc, Bachelors, Sales, Asian-Pac-Islander, Male,40-59, <=50K
35-49, State-gov, Prof-school, Prof-specialty, Asian-Pac-Islander, Male,60-79, >50K
50-65, Self-emp-inc, Prof-school, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K
50-65, State-gov, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
50-65, State-gov, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, Prof-school, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Self-emp-inc, Prof-school, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, State-gov, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,60-79, >50K
17-34, State-gov, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Assoc-voc, Other-service, Asian-Pac-Islander, Male,60-79, >50K
17-34, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
50-65, Local-gov, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,20-39, <=50K
35-49, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Self-emp-not-inc, Masters, Sales, Asian-Pac-Islander, Male,40-59, <=50K
17-34, Private, Prof-school, Tech-support, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Assoc-acdm, Adm-clerical, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, 9th, Handlers-cleaners, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, 10th, Other-service, Asian-Pac-Islander, Male,60-79, <=50K
35-49, Private, Masters, Exec-managerial, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Prof-school, Prof-specialty, Asian-Pac-Islander, Male,60-79, >50K
17-34, State-gov, Masters, Prof-specialty, Asian-Pac-Islander, Male,0-19, <=50K
17-34, Private, Bachelors, Tech-support, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
35-49, Self-emp-not-inc, Prof-school, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Doctorate, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Masters, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, Prof-school, Prof-specialty, Asian-Pac-Islander, Male,20-39, >50K
17-34, Private, Bachelors, Sales, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Federal-gov, Prof-school, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,60-79, <=50K
17-34, Private, Some-college, Adm-clerical, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Private, Preschool, Craft-repair, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, <=50K
17-34, Self-emp-inc, Bachelors, Other-service, Asian-Pac-Islander, Male,40-59, >50K
17-34, Federal-gov, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, HS-grad, Sales, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, Prof-school, Exec-managerial, Asian-Pac-Islander, Male,60-79, >50K
35-49, Private, Bachelors, Craft-repair, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, HS-grad, Other-service, Asian-Pac-Islander, Male,80+, >50K
35-49, Private, HS-grad, Craft-repair, Asian-Pac-Islander, Male,60-79, <=50K
35-49, Private, Masters, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, HS-grad, Other-service, Asian-Pac-Islander, Male,60-79, <=50K
35-49, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,60-79, <=50K
35-49, Private, Doctorate, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, HS-grad, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
35-49, Self-emp-not-inc, HS-grad, Farming-fishing, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Self-emp-not-inc, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, Masters, Exec-managerial, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Self-emp-inc, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, 5th-6th, Machine-op-inspct, Asian-Pac-Islander, Male,40-59, <=50K
17-34, Private, Assoc-voc, Craft-repair, Asian-Pac-Islander, Male,40-59, <=50K
17-34, Private, HS-grad, Machine-op-inspct, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Federal-gov, Some-college, Adm-clerical, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, HS-grad, Machine-op-inspct, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Local-gov, Prof-school, Adm-clerical, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, HS-grad, Craft-repair, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Some-college, Adm-clerical, Asian-Pac-Islander, Male,20-39, <=50K
35-49, Local-gov, Prof-school, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Federal-gov, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, Prof-school, Prof-specialty, Asian-Pac-Islander, Male,80+, <=50K
50-65, Self-emp-not-inc, Masters, Exec-managerial, Asian-Pac-Islander, Male,40-59, <=50K
17-34, Private, Some-college, Other-service, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, HS-grad, Handlers-cleaners, Asian-Pac-Islander, Male,0-19, <=50K
50-65, Private, Bachelors, Protective-serv, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, HS-grad, Sales, Asian-Pac-Islander, Male,40-59, <=50K
65+, Private, HS-grad, Farming-fishing, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Private, 5th-6th, Farming-fishing, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, HS-grad, Other-service, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Private, 5th-6th, Handlers-cleaners, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, 5th-6th, Other-service, Asian-Pac-Islander, Male,40-59, <=50K
17-34, Private, 5th-6th, Farming-fishing, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Local-gov, Some-college, Other-service, Asian-Pac-Islander, Male,60-79, <=50K
50-65, Private, Prof-school, Craft-repair, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, Some-college, Adm-clerical, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, Some-college, Craft-repair, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Some-college, Other-service, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Assoc-voc, Other-service, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Prof-school, Adm-clerical, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, HS-grad, Other-service, Asian-Pac-Islander, Male,20-39, <=50K
50-65, Private, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,40-59, <=50K
65+, Without-pay, HS-grad, Adm-clerical, Asian-Pac-Islander, Male,0-19, <=50K
35-49, Private, Masters, Tech-support, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,40-59, >50K
17-34, Private, Some-college, Exec-managerial, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Self-emp-inc, Prof-school, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, Masters, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,20-39, >50K
17-34, Private, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Local-gov, Bachelors, Protective-serv, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
65+, Private, Bachelors, Craft-repair, Asian-Pac-Islander, Male,20-39, <=50K
35-49, Private, Bachelors, Other-service, Asian-Pac-Islander, Male,60-79, >50K
65+, Local-gov, Assoc-acdm, Adm-clerical, Asian-Pac-Islander, Male,20-39, <=50K
35-49, Local-gov, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Craft-repair, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,20-39, >50K
17-34, Private, Some-college, Machine-op-inspct, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Some-college, Craft-repair, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Craft-repair, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Some-college, Sales, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Local-gov, Prof-school, Adm-clerical, Asian-Pac-Islander, Male,40-59, >50K
50-65, Local-gov, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, >50K
35-49, Local-gov, Bachelors, Craft-repair, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Federal-gov, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, 11th, Machine-op-inspct, Asian-Pac-Islander, Male,40-59, <=50K
65+, Private, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Private, HS-grad, Tech-support, Asian-Pac-Islander, Male,60-79, >50K
50-65, Self-emp-not-inc, Prof-school, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, HS-grad, Other-service, Asian-Pac-Islander, Male,20-39, <=50K
17-34, Private, Some-college, Craft-repair, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Federal-gov, Masters, Tech-support, Asian-Pac-Islander, Male,40-59, >50K
35-49, Local-gov, Bachelors, Sales, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Tech-support, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Bachelors, Adm-clerical, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Some-college, Machine-op-inspct, Asian-Pac-Islander, Male,40-59, >50K
35-49, Private, Assoc-voc, Tech-support, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Assoc-voc, Prof-specialty, Asian-Pac-Islander, Male,20-39, >50K
35-49, Self-emp-not-inc, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Self-emp-not-inc, Some-college, Sales, Asian-Pac-Islander, Male,80+, >50K
17-34, Private, HS-grad, Machine-op-inspct, Asian-Pac-Islander, Male,40-59, <=50K
17-34, Private, Some-college, Sales, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Private, HS-grad, Craft-repair, Asian-Pac-Islander, Male,40-59, >50K
50-65, Private, 7th-8th, Other-service, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Private, Masters, Adm-clerical, Asian-Pac-Islander, Male,40-59, >50K
35-49, Federal-gov, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, >50K
50-65, Self-emp-inc, Bachelors, Sales, Asian-Pac-Islander, Male,60-79, >50K
50-65, Self-emp-not-inc, HS-grad, Other-service, Asian-Pac-Islander, Male,60-79, <=50K
35-49, Self-emp-not-inc, HS-grad, Sales, Asian-Pac-Islander, Male,40-59, >50K
50-65, Self-emp-not-inc, HS-grad, Sales, Asian-Pac-Islander, Male,60-79, <=50K
50-65, Private, Bachelors, Exec-managerial, Asian-Pac-Islander, Male,60-79, >50K
50-65, Private, Bachelors, Craft-repair, Asian-Pac-Islander, Male,40-59, <=50K
35-49, Private, Bachelors, Sales, Asian-Pac-Islander, Male,40-59, >50K
50-65, Self-emp-inc, Masters, Prof-specialty, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Private, Bachelors, Other-service, Asian-Pac-Islander, Male,40-59, <=50K
50-65, Private, Doctorate, Prof-specialty, Asian-Pac-Islander, Male,80+, <=50K
